The instructor stimulated my interest in the subject,The instructor was organized and prepared for every class,The instructor challenged students to do their best work,The instructor gave guidance on where to find resources,The course was delivered as outlined in the syllabus,How do you rate your experience in this course?,I feel I am achieving the learning outcomes,I would like to continue with other lessons on further statistical topics,What changes would you recommend to improve this course?,"Any further, constructive comment"
3,4,4,4,4,3,2,1,,
3,4,4,4,5,3,3,5,,
5,5,5,5,5,5,5,5,I wouldn't change anything on it,"I’d like to extend the course,
deepening other topics through the use of packages available in R. If there was the possibility of extending the course hours, or organizing another one in the next few months, I would be totally available."
5,4,5,5,4,5,4,5,,
5,5,4,5,5,5,5,5,,
4,5,5,5,5,5,4,5,,It would be really interesting other lessons or another course where further investigate statistical and data science analysis
5,5,5,5,5,5,5,5,"I would like more challenges between two lesson, because is very stimulating ",
5,5,5,5,5,5,4,5,"Nessun consiglio in particolare per migliorare le modalità di svolgimento del corso. Il programma svolto in così poche lezioni ci darà sicuramente la possibilità di approfondire gli argomenti trattati. Sicuramente avrei interesse nel continuare ad approfondire ed ampliare le mie conoscenze di statistica e R. E avrei interesse sopratutto per gli argomenti di analisi multivarita, cluster analysis, GLM. ",
3,5,4,4,5,3,3,3,"I would suggest to the lecturer to provide more examples with strong application on science (i.e. from his researsh field, there should be many from it), rather than proposing exercises of  classic kind (although well explained to the students).",
4,5,5,5,4,3,4,3,,
4,5,5,5,4,5,5,4,,"Il corso è stato molto interessante e ben fatto, ho apprezzato il taglio molto pratico e il fatto che si sono toccati diversi argomenti. Anche l'idea delle challenge per permettere un migliore apprendimento è da apprezzare."
